,precision,recall,f1-score,support
anger,0.6038961038961039,0.768595041322314,0.6763636363636364,726.0
disgust,0.5925925925925926,0.5,0.5423728813559322,96.0
fear,0.6371681415929203,0.7578947368421053,0.6923076923076923,95.0
joy,0.9457900807381776,0.7984420642648491,0.8658922914466737,2054.0
sadness,0.5936675461741425,0.7097791798107256,0.646551724137931,317.0
surprise,0.6745762711864407,0.7467166979362101,0.7088156723063224,533.0
accuracy,0.7696937974352264,0.7696937974352264,0.7696937974352264,0.7696937974352264
macro avg,0.6746151226967295,0.713571286696034,0.688717316319698,3821.0
weighted avg,0.7972371170595604,0.7696937974352264,0.7773293493592939,3821.0
