,precision,recall,f1-score,support
anger,0.5637319316688568,0.5909090909090909,0.5770006724949562,726.0
disgust,0.3522012578616352,0.5833333333333334,0.4392156862745098,96.0
fear,0.44285714285714284,0.6526315789473685,0.5276595744680851,95.0
joy,0.8980414746543779,0.7590068159688412,0.8226912928759894,2054.0
sadness,0.4710526315789474,0.5646687697160884,0.5136298421807748,317.0
surprise,0.5689922480620155,0.6885553470919324,0.6230899830220713,533.0
accuracy,0.6940591468202041,0.6940591468202041,0.6940591468202041,0.6940591468202041
macro avg,0.549479447780496,0.6398508226611092,0.5838811752193979,3821.0
weighted avg,0.7281669387818394,0.6940591468202041,0.7055562392508534,3821.0
